deLay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon.stopped,polygon_2.started,key_resp.started,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate
0.7,400,unexp,0,0,0,2,13.8685972,14.8686809,14.8686809,14.8686809,space,0.6229084,16.21864382,16.7075378,16.7075378,16.7075378,16.7075378,250,1,[6.817182699975092],[6.817192699993029],nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.4,1000,exp,0,1,1,4,23.518401,24.5186553,24.5186553,24.5186553,space,3.1176091,28.06900152,28.5571586,28.5571586,28.5571586,28.5571586,400,2,"[6.817182699975092, 3.143667899945285]","[6.817192699993029, 3.143675400002394]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.7,1000,exp,0,2,2,11,31.7021294,32.7024387,32.7024387,32.7024387,space,0.9344737,34.36946662,34.8474116,34.8474116,34.8474116,34.8474116,600,3,"[6.817182699975092, 3.143667899945285, 4.750760700029787]","[6.817192699993029, 3.143675400002394, 4.750766200013459]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.7,1000,exp,0,3,3,8,39.6020385,40.6021789,40.6021789,40.6021789,space,2.6437741,43.96875852,,44.4564068,44.4564068,44.4564068,700,4,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.4,1000,exp,0,4,4,7,48.0354066,49.0354018,49.0354018,49.0354018,space,1.1017276,50.56897232,,51.0602877,51.0602877,51.0602877,400,5,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.1,1000,exp,0,5,5,3,54.7851844,55.7855429,55.7855429,55.7855429,space,0.4593962,56.36829722,,56.8573079,56.8573079,56.8573079,300,6,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.7,1000,exp,0,6,6,5,60.2351519,61.2352936,61.2352936,61.2352936,space,1.4256713,63.38540902,63.8635306,63.8635306,63.8635306,63.8635306,500,7,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.1,1000,exp,0,7,7,9,66.3186526,67.3187194,67.3187194,67.3187194,space,2.0002642,69.43501292,,69.9033055,69.9033055,69.9033055,200,8,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.4,1000,exp,0,8,8,10,71.9352833,72.9356202,72.9356202,72.9356202,space,2.468016,75.83543082,76.3174616,76.3174616,76.3174616,76.3174616,400,9,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.1,1000,exp,0,9,9,6,79.235362,80.2354127,80.2354127,80.2354127,space,1.1055425,81.46880322,,81.948597,81.948597,81.948597,300,10,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
